birth_place,discipline,Count
BUENOS AIRES,Hockey,15
BUDAPEST,Water Polo,14
BELGRADE,Water Polo,13
LONDON,Athletics,11
XUZHOU,Swimming,10
"WOLLONGONG, NSW",Swimming,10
"REDCLIFFE, QLD",Swimming,9
OSLO,Handball,9
BUDAPEST,Canoe Sprint,9
"WASHINGTON, DC",Swimming,8
"LAKEVILLE, MN",Swimming,8
"LAUNCESTON, TAS",Swimming,8
KINGSTON,Athletics,8
"GREEN COVE SPRINGS, FL",Swimming,8
"ADELAIDE, SA",Swimming,8
BARCELONA,Water Polo,7
KOBE,Judo,7
WENZHOU,Swimming,7
GLASGOW,Swimming,7
SANTO DOMINGO,Baseball/Softball,7
"BRISBANE, QLD",Swimming,7
MOSCOW,Artistic Swimming,7
LUYKSGESTEL,Cycling Track,6
SEOUL,Short Track Speed Skating,6
"NEW YORK, NY",Swimming,6
"SAINT PAUL, MN",Artistic Gymnastics,6
ADAMA,Athletics,6
"PALOS HEIGHTS, IL",Swimming,6
SAO PAULO,Football,6
OSLO,Cross-Country Skiing,6
TOKYO,Judo,6
"COLUMBUS, OH",Artistic Gymnastics,6
ZIBO,Swimming,6
GUARULHOS,Artistic Gymnastics,6
"ATLANTA, GA",Athletics,6
TAURANGA,Canoe Sprint,6
BLANTYRE,Swimming,6
SHIJIAZHUANG,Table Tennis,5
MAKUBETSU,Speed Skating,5
DUBROVNIK,Water Polo,5
"NASHVILLE, TN",Swimming,5
"FAIRFAX, VA",Swimming,5
SHENZHEN,Artistic Swimming,5
MARSEILLE,Canoe Slalom,5
BEIJING,Artistic Gymnastics,5
YIBIN,Artistic Gymnastics,5
ARENDAL,Biathlon,5
CLAMART,Judo,5
HELSINKI,Ice Hockey,5
TOULOUSE,Swimming,5
CATANIA,Fencing,5
"TAMPA, FL",Swimming,5
LYON,Fencing,5
MOSCOW,Figure Skating,5
"SYDNEY, NSW",Water Polo,5
THIENE,Swimming,5
CHAMPAGNOLE,Biathlon,5
STRYN,Biathlon,5
SOUTH BRISBANE,Swimming,5
PODYVOT?YE,Cross-Country Skiing,5
IWATA,Table Tennis,5
PARIS,Handball,5
OULU,Cross-Country Skiing,5
BUDAPEST,Fencing,5
"OTTAWA, ON",Speed Skating,5
JALANDHAR,Hockey,5
AMRITSAR,Hockey,5
LJUBLJANA,Ski Jumping,5
LONDON,Swimming,5
MADRID,Football,5
